problem_id,original,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5,direct_6,direct_7,top8,rank_order,top1_index,top1
codechef_STKSTR_streak-star,1736.634864,1586.790476,1624.7276810000003,1707.0622340000002,1680.992698,1647.097247,1818.1709409999994,1621.3336099999997,1738.9858849999998,1586.790476,"['direct_0', 'direct_6', 'direct_1', 'direct_4', 'direct_3', 'direct_2', 'direct_7', 'direct_5']",direct_0,1586.790476
codechef_STOT_s-to-t,1987.2776559999998,2083.5998640000003,2037.434574,2959.3728670000005,1720.5192999999997,2095.818198,2016.3120519999995,3207.3764950000013,1814.0155139999997,1720.5192999999997,"['direct_3', 'direct_7', 'direct_5', 'direct_1', 'direct_0', 'direct_4', 'direct_2', 'direct_6']",direct_6,3207.3764950000013
codechef_STRANGENIM_strange-nim-game,28787.43417,18238.474407,29498.756110999988,,13276.532898999993,16231.971055999998,22589.468974000003,20288.163779,19983.871700999996,13276.532898999993,"['direct_3', 'direct_4', 'direct_0', 'direct_7', 'direct_6', 'direct_5', 'direct_1']",direct_3,13276.532898999993
codechef_SUMBYOR_sum-by-or,1644.0678360000002,1684.0310430000002,1885.2838860000002,1652.5101020000006,1921.8426830000005,1583.786446,1880.5989990000005,1694.1565779999999,1761.8735379999998,1583.786446,"['direct_4', 'direct_2', 'direct_0', 'direct_6', 'direct_7', 'direct_5', 'direct_1', 'direct_3']",direct_4,1583.786446
codechef_SWPG_shall-we-play-a-game,1721.7275560000003,2004.4815779999997,1866.4505890000007,1506.9811840000002,1462.3441019999993,1730.0115500000004,1528.4272409999999,1767.7471890000002,1708.9421570000004,1462.3441019999993,"['direct_3', 'direct_2', 'direct_5', 'direct_7', 'direct_4', 'direct_6', 'direct_1', 'direct_0']",direct_7,1708.9421570000004
codechef_TEMPBAL_temperature-balance,3749.517850000001,3921.954133000001,3778.759643,3681.6057839999994,3748.048144999999,3669.9159090000016,3511.5118590000006,3861.646975000002,3621.149965,3511.5118590000006,"['direct_5', 'direct_7', 'direct_4', 'direct_2', 'direct_3', 'direct_1', 'direct_6', 'direct_0']",direct_1,3778.759643
codechef_TIMA_time-machine,1647.6245719999997,1762.5229410000002,1619.1220719999997,1622.0353220000009,1707.9278110000002,1697.1208340000003,1492.0195610000003,1757.208234,1543.3128130000002,1492.0195610000003,"['direct_5', 'direct_7', 'direct_1', 'direct_2', 'direct_4', 'direct_3', 'direct_6', 'direct_0']",direct_7,1543.3128130000002
codechef_TMPTMP_temporary-temperature,1809.0874760000002,1611.8346190000002,1616.758321,1570.9004020000002,1725.1276250000003,1836.57588,1587.2589159999998,1783.2074950000006,1702.5843599999998,1570.9004020000002,"['direct_2', 'direct_5', 'direct_0', 'direct_1', 'direct_7', 'direct_3', 'direct_6', 'direct_4']",direct_1,1616.758321
codechef_TRICHECK_triangle-checking,1626.4168359999992,1767.1717330000001,1805.7009720000003,1585.5670810000001,1599.3257299999998,1736.3656500000002,1542.2691479999996,1503.7747710000003,1485.05131,1485.05131,"['direct_7', 'direct_6', 'direct_5', 'direct_2', 'direct_3', 'direct_4', 'direct_0', 'direct_1']",direct_1,1805.7009720000003
codechef_USELEC_elections,1663.6400510000003,1570.3135050000003,1635.7231020000002,1560.0077769999996,1918.8716639999998,1640.0699629999992,1790.8320219999994,1925.4724600000006,1589.3656769999993,1560.0077769999996,"['direct_2', 'direct_0', 'direct_7', 'direct_1', 'direct_4', 'direct_5', 'direct_3', 'direct_6']",direct_4,1640.0699629999992
