problem_id,best_direct,original,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,top8,rank_order
atcoder_abc386b_calculator,236.745164,315.576508,301.555602,298.433008,293.425546,379.267314,297.44896000000006,326.118572,365.47696899999994,,293.425546,"['rank_3', 'rank_5', 'rank_2', 'rank_1', 'rank_6', 'rank_7', 'rank_4']"
atcoder_abc386e_-maximize-xor,4848.961013999999,10130.482221,,6377.3066149999995,6372.884202,,,,,,6372.884202,"['rank_3', 'rank_2']"
atcoder_abc386f_operate-k,428.481072,423.14164700000003,363.66072800000006,428.17429400000003,452.512499,441.8603939999999,430.004936,,514.717146,,363.66072800000006,"['rank_1', 'rank_2', 'rank_5', 'rank_4', 'rank_3', 'rank_7']"
atcoder_abc387a_happy-new-year-2025,423.833473,317.56279400000005,290.085485,267.771381,368.4874120000001,252.60460200000003,342.983851,294.881797,294.67773100000005,324.2385,252.60460200000003,"['rank_4', 'rank_2', 'rank_1', 'rank_7', 'rank_6', 'rank_8', 'rank_5', 'rank_3']"
atcoder_abc387b_9x9-sum,297.31898,239.83798400000003,301.01405399999993,283.74483699999996,285.72669599999995,319.663111,310.024177,301.22159200000004,277.33427400000005,392.94220699999994,277.33427400000005,"['rank_7', 'rank_2', 'rank_3', 'rank_1', 'rank_6', 'rank_5', 'rank_4', 'rank_8']"
atcoder_abc387c_snake-numbers,,320.67230599999994,,,,,,,,,,[]
atcoder_abc387d_snaky-walk,3474.5377419999995,5268.847465999999,10152.881359,,,3672.435333,7166.839142999999,,6237.221259,5324.805479,3672.435333,"['rank_4', 'rank_8', 'rank_7', 'rank_5', 'rank_1']"
atcoder_abc387e_digit-sum-divisible-2,369.518829,313.47297899999995,287.5015420000001,336.729429,,302.6273540000001,289.060501,278.84533999999996,297.046788,,278.84533999999996,"['rank_6', 'rank_1', 'rank_5', 'rank_7', 'rank_4', 'rank_2']"
atcoder_abc388a_?upc,308.882843,315.56967399999996,291.12471,312.730817,285.004549,318.89960799999994,310.806756,286.304579,389.199797,269.30955399999993,269.30955399999993,"['rank_8', 'rank_3', 'rank_6', 'rank_1', 'rank_5', 'rank_2', 'rank_4', 'rank_7']"
atcoder_abc388b_heavy-snake,429.6326000000001,425.47975099999996,289.622596,266.862894,,368.19245300000006,363.41180299999996,266.80897200000004,365.614629,419.883462,266.80897200000004,"['rank_6', 'rank_2', 'rank_1', 'rank_5', 'rank_7', 'rank_4', 'rank_8']"
atcoder_abc388c_various-kagamimochi,3836.2806199999995,3827.3116449999993,3761.592858,4022.4870560000004,3776.6777229999993,3781.0082379999994,3816.3655499999995,3789.787937,3697.3101840000004,3770.2597920000003,3697.3101840000004,"['rank_7', 'rank_1', 'rank_8', 'rank_3', 'rank_4', 'rank_6', 'rank_5', 'rank_2']"
atcoder_abc388d_coming-of-age-celebration,364.772225,2323.0171370000003,,,,,,,,,,[]
atcoder_abc388f_dangerous-sugoroku,,429.083211,,,,,,,,,,[]
atcoder_abc388g_simultaneous-kagamimochi-2,555.5630279999999,425.67905200000007,,540.810444,,431.179905,443.58878400000003,,481.21988,,431.179905,"['rank_4', 'rank_5', 'rank_7', 'rank_2']"
atcoder_abc389a_9x9,293.2853309999999,329.581027,289.097437,383.023077,,353.252121,328.780594,272.59488,304.844917,289.55096100000003,272.59488,"['rank_6', 'rank_1', 'rank_8', 'rank_7', 'rank_5', 'rank_4', 'rank_2']"
atcoder_abc389b_tcaf,321.77463700000004,420.368869,317.18423099999995,301.8311320000001,325.05820400000005,284.3629630000001,290.0247599999999,415.638497,,,284.3629630000001,"['rank_4', 'rank_5', 'rank_2', 'rank_1', 'rank_3', 'rank_6']"
atcoder_abc389c_snake-queue,3626.8919069999997,3432.5039209999995,3291.623728,,,,,,,,3291.623728,['rank_1']
atcoder_abc389d_squares-in-circle,1910.940451,2016.7987759999999,,317.87119099999995,,,,1367.4023229999998,,,317.87119099999995,"['rank_2', 'rank_6']"
atcoder_abc389e_square-price,,521.8518879999999,,548.311616,,,489.56705199999993,,,,489.56705199999993,"['rank_5', 'rank_2']"
atcoder_abc389f_rated-range,,3038.835533,,,,,,,,,,[]
atcoder_abc390b_geometric-sequence,316.20342,246.140755,294.929217,271.89005,347.59848300000004,270.77863,305.467833,272.80571,323.06644800000004,,270.77863,"['rank_4', 'rank_2', 'rank_6', 'rank_1', 'rank_5', 'rank_7', 'rank_3']"
atcoder_abc390c_paint-to-make-a-rectangle,413.005494,275.16014699999994,347.33692999999994,,314.01467999999994,289.731909,284.62450300000006,320.21552699999995,372.20114300000006,,284.62450300000006,"['rank_5', 'rank_4', 'rank_3', 'rank_6', 'rank_1', 'rank_7']"
atcoder_abc390d_stone-xor,10053.711301000001,10080.085502000002,9433.232229,10252.635983000002,,,,,,,9433.232229,"['rank_1', 'rank_2']"
atcoder_abc390f_double-sum-3,690.9898409999997,594.3503239999998,635.2902109999998,619.472775,,,640.012183,,,,619.472775,"['rank_2', 'rank_1', 'rank_5']"
atcoder_abc391a_lucky-direction,372.08813499999997,241.773441,317.983906,309.213207,395.614671,257.404688,378.25516999999996,347.672777,294.06270800000004,280.94597699999997,257.404688,"['rank_4', 'rank_8', 'rank_7', 'rank_2', 'rank_1', 'rank_6', 'rank_5', 'rank_3']"
atcoder_abc391b_seek-grid,292.883286,458.5206819999999,333.8433069999999,276.22169900000006,312.593965,356.026261,344.087273,293.304458,348.21174499999995,295.29001400000004,276.22169900000006,"['rank_2', 'rank_6', 'rank_8', 'rank_3', 'rank_1', 'rank_5', 'rank_7', 'rank_4']"
atcoder_abc391c_pigeonhole-query,297.80922200000003,489.39045400000003,,275.036026,,372.047496,,,,,275.036026,"['rank_2', 'rank_4']"
atcoder_abc391e_hierarchical-majority-vote,1773.7302799999998,1140.8673,,1123.0391470000002,,,,1920.9776060000002,,,1123.0391470000002,"['rank_2', 'rank_6']"
atcoder_abc391f_k-th-largest-triplet,11540.172506,15843.014510000005,12864.064415000003,,11487.613597,,,11604.613491000002,11327.897496,,11327.897496,"['rank_7', 'rank_3', 'rank_6', 'rank_1']"
